term,estimate,std_error,t_value,p_value,model
(Intercept),-1.2695897306511732,0.13507377344036922,-9.399231977565629,1.7072793755562135e-20,overpay_residual ~ retention_status + tier
retention_statussame_team,0.7029864310098282,0.11689734631406605,6.013707352441747,2.2143519376222014e-9,overpay_residual ~ retention_status + tier
tiermiddle,1.393463262107722,0.1490053834439485,9.35176454635884,2.6189725848157964e-20,overpay_residual ~ retention_status + tier
tiertop,1.3458726416222813,0.1569832254037253,8.573353223957538,2.2201499375741668e-17,overpay_residual ~ retention_status + tier
tierunknown,0.44463720860556977,0.1703312699286885,2.610426193568117,0.009122309606882921,overpay_residual ~ retention_status + tier
