team,season,captain_name,source_page,alternate_data_available
Carolina Hurricanes,2013-14,Eric Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2014-15,Eric Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2015-16,Eric Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2018-19,Justin Williams,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2019-20,Justin Williams,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2020-21,Justin Williams,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2021-22,Jordan Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2022-23,Jordan Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2023-24,Jordan Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2024-25,Jordan Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Chicago Blackhawks,2012-13,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Chicago Blackhawks,2013-14,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Chicago Blackhawks,2014-15,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Chicago Blackhawks,2015-16,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Chicago Blackhawks,2016-17,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Chicago Blackhawks,2017-18,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
Chicago Blackhawks,2018-19,Jonathan Toews,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
