player_name,position,signing_team,previous_team,contract_value,aav,contract_years,signing_year,signing_date,contract_type
Kailer Yamamoto,"RW, C",Edmonton Oilers,NA,3465000,1155000,3,2017,2017-08-10,RFA
Kale Clague,"LD, RD",Los Angeles Kings,NA,2775000,925000,3,2017,2017-03-06,RFA
Kevin Gravel,LD,Los Angeles Kings,Los Angeles Kings,650000,650000,1,2017,2017-07-14,other
Kevin Rooney,C,New Jersey Devils,New Jersey Devils,625000,796429,1,2017,2017-02-27,other
Kevin Rooney,C,New Jersey Devils,New Jersey Devils,650000,650000,1,2017,2017-07-26,other
Kevin Stenlund,"C, RW",Columbus Blue Jackets,NA,2775000,925000,3,2017,2017-05-23,RFA
Kieffer Bellows,LW,New York Islanders,NA,3412500,1137500,3,2017,2017-09-22,RFA
Klim Kostin,"LW, RW, C",St. Louis Blues,NA,3412500,1137500,3,2017,2017-07-05,RFA
Kurtis MacDermid,LW,Los Angeles Kings,NA,650000,650000,1,2017,2017-07-14,RFA
Leon Draisaitl,"C, RW",Edmonton Oilers,Edmonton Oilers,68000000,8500000,8,2017,2017-08-16,UFA
Liam O'Brien,"RW, LW, C",Washington Capitals,Washington Capitals,650000,650000,1,2017,2017-07-14,other
Linus Ullmark,G,Buffalo Sabres,Buffalo Sabres,1500000,750000,2,2017,2017-06-13,other
Luke Kunin,"C, LW, RW",Minnesota Wild,NA,4275000,1425000,3,2017,2017-03-23,RFA
MacKenzie Weegar,"LD, RD",Florida Panthers,Florida Panthers,675000,675000,1,2017,2017-08-03,other
Marc-Edouard Vlasic,"LD, RD",San Jose Sharks,San Jose Sharks,56000000,7000000,8,2017,2017-07-01,UFA
Marcus Foligno,"LW, RW",Minnesota Wild,Buffalo Sabres,11500000,2875000,4,2017,2017-09-14,UFA
Marcus Hogberg,G,Ottawa Senators,NA,1700000,850000,2,2017,2017-03-30,other
Mark Friedman,"RD, LD",Philadelphia Flyers,NA,2475000,825000,3,2017,2017-03-21,other
Martin Frk,RW,Detroit Red Wings,Carolina Hurricanes,650000,650000,1,2017,2017-07-18,other
Martin Necas,"RW, LW, C",Carolina Hurricanes,NA,4387500,1462500,3,2017,2017-07-14,RFA
Mason Appleton,"LW, RW, C",Winnipeg Jets,NA,2275000,758333,3,2017,2017-07-13,other
Matt Nieto,LW,Colorado Avalanche,San Jose Sharks,1000000,1000000,1,2017,2017-07-25,other
Matt Roy,RD,Los Angeles Kings,NA,1850000,925000,2,2017,2017-03-27,other
Matthew Highmore,"RW, C",Chicago Blackhawks,NA,2775000,925000,3,2017,2017-03-02,other
Mattias Janmark,"LW, RW, C",Dallas Stars,Dallas Stars,700000,700000,1,2017,2017-04-27,other
Max McCormick,LW,Ottawa Senators,Ottawa Senators,1300000,650000,2,2017,2017-06-27,UFA
Michael Rasmussen,"LW, RW, C",Detroit Red Wings,NA,5225000,1741666,3,2017,2017-08-05,RFA
Michael Sgarbossa,"C, RW",Winnipeg Jets,Anaheim Ducks,650000,650000,1,2017,2017-07-01,other
Mika Zibanejad,C,New York Rangers,New York Rangers,26750000,5350000,5,2017,2017-07-25,UFA
Mikael Granlund,C,Minnesota Wild,Minnesota Wild,17250000,5750000,3,2017,2017-08-01,UFA
Mike Matheson,LD,Florida Panthers,Florida Panthers,39000000,4875000,8,2017,2017-10-07,UFA
Mike Reilly,"LD, RD",Minnesota Wild,Minnesota Wild,1450000,725000,2,2017,2017-07-02,other
Miro Heiskanen,"LD, RD",Dallas Stars,NA,10275000,3425000,3,2017,2017-07-08,RFA
Morgan Frost,C,Philadelphia Flyers,NA,2775000,925000,3,2017,2017-08-03,other
Nate Schmidt,"RD, LD",Vegas Golden Knights,Washington Capitals,4450000,2225000,2,2017,2017-08-05,UFA
Nathan Walker,LW,Washington Capitals,NA,1300000,650000,2,2017,2017-06-01,other
Neal Pionk,RD,New York Rangers,NA,3550000,1775000,2,2017,2017-05-01,other
Nick Cousins,"RW, LW, C",Arizona Coyotes,Philadelphia Flyers,2000000,1000000,2,2017,2017-07-01,other
Nick DeSimone,RD,San Jose Sharks,NA,1850000,925000,2,2017,2017-03-30,other
Nick Jensen,"RD, LD",Detroit Red Wings,Detroit Red Wings,1625000,812500,2,2017,2017-02-27,UFA
Nick Suzuki,"C, RW",Vegas Golden Knights,NA,4162500,1387500,3,2017,2017-07-15,RFA
Nico Hischier,C,New Jersey Devils,NA,11325000,3775000,3,2017,2017-07-15,RFA
Nicolas Hague,"LD, RD",Vegas Golden Knights,NA,2775000,925000,3,2017,2017-09-29,RFA
Nikita Zadorov,"LD, RD",Colorado Avalanche,Colorado Avalanche,4300000,2150000,2,2017,2017-09-15,other
Nikolaj Ehlers,"LW, RW",Winnipeg Jets,Winnipeg Jets,42000000,6000000,7,2017,2017-10-04,UFA
Nino Niederreiter,RW,Minnesota Wild,Minnesota Wild,26250000,5250000,5,2017,2017-07-30,UFA
Noel Acciari,C,Boston Bruins,Boston Bruins,1450000,725000,2,2017,2017-06-28,UFA
Ondrej Palat,LW,Tampa Bay Lightning,Tampa Bay Lightning,26500000,5300000,5,2017,2017-07-14,UFA
Oscar Dansk,G,Vegas Golden Knights,NA,650000,650000,1,2017,2017-07-03,other
Oskar Sundqvist,C,St. Louis Blues,Pittsburgh Penguins,675000,675000,1,2017,2017-07-01,other
Owen Tippett,"LW, RW",Florida Panthers,NA,4975000,1658333,3,2017,2017-07-19,RFA
Parker Kelly,"LW, C, RW",Ottawa Senators,NA,2240000,746666,3,2017,2017-09-19,RFA
Patrick Brown,"RW, LW, C",Carolina Hurricanes,Carolina Hurricanes,650000,650000,1,2017,2017-06-27,other
Pheonix Copley,G,Washington Capitals,St. Louis Blues,1300000,650000,2,2017,2017-06-28,UFA
Philipp Grubauer,G,Washington Capitals,Washington Capitals,1500000,1500000,1,2017,2017-07-06,other
Phillip Di Giuseppe,LW,Carolina Hurricanes,Carolina Hurricanes,725000,725000,1,2017,2017-07-27,other
Pierre-Olivier Joseph,"LD, RD",Arizona Coyotes,NA,3412500,1137500,3,2017,2017-12-04,RFA
Radek Faksa,"C, LW, RW",Dallas Stars,Dallas Stars,6600000,2200000,3,2017,2017-07-10,other
Robert Thomas,C,St. Louis Blues,NA,3625000,1208333,3,2017,2017-09-28,RFA
Roope Hintz,"RW, C",Dallas Stars,NA,2775000,925000,3,2017,2017-05-04,RFA
Ryan Johansen,C,Nashville Predators,Nashville Predators,64000000,8000000,8,2017,2017-07-28,UFA
Ryan Lomberg,"LW, RW",Calgary Flames,NA,1850000,710000,2,2017,2017-03-17,other
Sam Bennett,C,Calgary Flames,Calgary Flames,3900000,1950000,2,2017,2017-09-06,other
Sam Carrick,C,Anaheim Ducks,Toronto Maple Leafs,1300000,650000,2,2017,2017-06-05,UFA
Scott Laughton,"C, LW",Philadelphia Flyers,Philadelphia Flyers,1925000,962500,2,2017,2017-07-11,other
Scott Sabourin,RW,Anaheim Ducks,NA,650000,650000,1,2017,2017-07-02,other
Scott Wedgewood,G,New Jersey Devils,New Jersey Devils,650000,650000,1,2017,2017-07-25,other
Sebastian Aho,"LD, RD",New York Islanders,NA,2775000,925000,3,2017,2017-07-05,other
Shayne Gostisbehere,"LD, RD",Philadelphia Flyers,Philadelphia Flyers,27000000,4500000,6,2017,2017-06-09,UFA
Spencer Smallman,RW,Carolina Hurricanes,NA,2275000,758333,3,2017,2017-03-31,other
Stefan Noesen,RW,New Jersey Devils,Anaheim Ducks,660000,660000,1,2017,2017-07-26,other
Steven Lorentz,"C, LW",Carolina Hurricanes,NA,2185000,728333,3,2017,2017-04-21,other
T.J. Oshie,RW,Washington Capitals,Washington Capitals,46000000,5750000,8,2017,2017-06-23,UFA
T.J. Tynan,C,Vegas Golden Knights,Columbus Blue Jackets,1300000,650000,2,2017,2017-07-01,UFA
Tage Thompson,"C, LW",St. Louis Blues,NA,3412500,1137500,3,2017,2017-03-07,RFA
Tanner Pearson,"LW, RW",Los Angeles Kings,Los Angeles Kings,15000000,3750000,4,2017,2017-05-09,UFA
Taylor Raddysh,RW,Tampa Bay Lightning,NA,2775000,925000,3,2017,2017-05-15,RFA
Teuvo Teravainen,"LW, RW, C",Carolina Hurricanes,Carolina Hurricanes,5720000,2860000,2,2017,2017-06-15,other
Tim Gettinger,LW,New York Rangers,NA,2260000,736666,3,2017,2017-03-15,RFA
Timothy Liljegren,RD,Toronto Maple Leafs,NA,3975000,1325000,3,2017,2017-07-12,RFA
Tomas Tatar,"RW, LW",Detroit Red Wings,Detroit Red Wings,21200000,5300000,4,2017,2017-07-21,UFA
Travis Boyd,"RW, C",Washington Capitals,NA,650000,650000,1,2017,2017-07-05,other
Troy Grosenick,G,San Jose Sharks,San Jose Sharks,1300000,650000,2,2017,2017-06-05,UFA
Tucker Poolman,RD,Winnipeg Jets,NA,1775000,1775000,1,2017,2017-03-30,other
Tyler Pitlick,"RW, C",Dallas Stars,Edmonton Oilers,3000000,1000000,3,2017,2017-07-01,UFA
Tyler Toffoli,"RW, C",Los Angeles Kings,Los Angeles Kings,13800000,4600000,3,2017,2017-06-07,UFA
Tyson Jost,"C, RW, LW",Colorado Avalanche,Colorado Avalanche,5112500,1704167,3,2017,2017-03-29,RFA
Viktor Arvidsson,"RW, LW",Nashville Predators,Nashville Predators,29750000,4250000,7,2017,2017-07-22,UFA
Vinni Lettieri,"RW, LW, C",New York Rangers,NA,1850000,925000,2,2017,2017-03-27,other
Warren Foegele,"LW, RW",Carolina Hurricanes,NA,2400000,800000,3,2017,2017-03-31,other
William Lagesson,"LD, RD",Edmonton Oilers,NA,2275000,758333,3,2017,2017-04-07,other
Yanni Gourde,"C, LW",Tampa Bay Lightning,Tampa Bay Lightning,2000000,1000000,2,2017,2017-06-26,UFA
Zac Dalpe,C,Columbus Blue Jackets,Minnesota Wild,1450000,725000,2,2017,2017-06-09,UFA
Zach Aston-Reese,C,Pittsburgh Penguins,NA,1850000,925000,2,2017,2017-03-14,other
Zach Hyman,"LW, RW",Toronto Maple Leafs,Toronto Maple Leafs,9000000,2250000,4,2017,2017-07-05,UFA
Zack MacEwen,RW,Vancouver Canucks,NA,2987500,995833,3,2017,2017-03-03,other
Zemgus Girgensons,"LW, C",Buffalo Sabres,Buffalo Sabres,3200000,1600000,2,2017,2017-08-17,other
Adam Boqvist,"RD, LD",Chicago Blackhawks,NA,5325000,1775000,3,2018,2018-07-01,RFA
Adam Gaudette,RW,Vancouver Canucks,Vancouver Canucks,4475000,1491667,3,2018,2018-03-26,other
Adam Henrique,"C, RW, LW",Anaheim Ducks,New Jersey Devils,29125000,5825000,5,2018,2018-07-16,UFA
Adam Lowry,C,Winnipeg Jets,Winnipeg Jets,8750000,2916667,3,2018,2018-07-19,UFA
Alex Lyon,G,Philadelphia Flyers,Philadelphia Flyers,1500000,750000,2,2018,2018-07-07,UFA
Alex Tuch,"RW, C",Vegas Golden Knights,Vegas Golden Knights,33250000,4750000,7,2018,2018-10-19,UFA
Alexander Alexeyev,"LD, RD",Washington Capitals,NA,2775000,925000,3,2018,2018-09-24,RFA
Alexander Petrovic,RD,Florida Panthers,Florida Panthers,1950000,1950000,1,2018,2018-07-06,UFA
Alexandre Texier,"LW, RW, C",Columbus Blue Jackets,NA,2775000,925000,3,2018,2018-05-22,RFA
Alexey Toropchenko,"RW, LW",St. Louis Blues,NA,2725000,875000,3,2018,2018-12-13,RFA
Andreas Athanasiou,"C, RW",Detroit Red Wings,Detroit Red Wings,6000000,3000000,2,2018,2018-07-05,other
Andrei Svechnikov,"RW, LW",Carolina Hurricanes,NA,10725000,3575000,3,2018,2018-07-01,RFA
Andrew Poturalski,C,Carolina Hurricanes,Carolina Hurricanes,700000,700000,1,2018,2018-06-08,other
Anthony Angello,C,Pittsburgh Penguins,NA,1850000,925000,2,2018,2018-04-05,other
Anthony Duclair,LW,Columbus Blue Jackets,Arizona Coyotes,650000,650000,1,2018,2018-07-05,other
Anthony Mantha,RW,Detroit Red Wings,Detroit Red Wings,6600000,3300000,2,2018,2018-07-11,other
Anthony Stolarz,G,Philadelphia Flyers,Philadelphia Flyers,761250,761250,1,2018,2018-07-15,other
Anton Blidh,LW,Boston Bruins,Boston Bruins,650000,650000,1,2018,2018-07-02,other
Axel Jonsson-Fjallby,"C, LW",Washington Capitals,NA,2580000,860000,3,2018,2018-05-01,RFA
Barclay Goodrow,"C, RW",San Jose Sharks,San Jose Sharks,1850000,925000,2,2018,2018-10-04,UFA
Barrett Hayton,"C, LW",Arizona Coyotes,NA,8025000,2675000,3,2018,2018-07-06,RFA
Ben Gleason,LD,Dallas Stars,NA,2285000,761666,3,2018,2018-09-13,RFA
Ben Harpur,LD,Ottawa Senators,Ottawa Senators,1450000,725000,2,2018,2018-02-09,other
Ben Jones,C,Vegas Golden Knights,NA,2345000,748333,3,2018,2018-06-01,other
Blake Coleman,"RW, LW",New Jersey Devils,New Jersey Devils,5400000,1800000,3,2018,2018-07-17,UFA
Boone Jenner,C,Columbus Blue Jackets,Columbus Blue Jackets,15000000,3750000,4,2018,2018-07-05,UFA
Brady Skjei,LD,New York Rangers,New York Rangers,31500000,5250000,6,2018,2018-07-28,UFA
Brady Tkachuk,LW,Ottawa Senators,NA,10275000,3425000,3,2018,2018-08-13,RFA
Brandon Hagel,"LW, RW",Chicago Blackhawks,NA,2775000,925000,3,2018,2018-10-30,other
Brandon Montour,RD,Anaheim Ducks,Anaheim Ducks,6775000,3387500,2,2018,2018-07-24,other
Brandon Tanev,"LW, RW",Winnipeg Jets,Winnipeg Jets,1150000,1150000,1,2018,2018-07-22,UFA
Brett Kulak,"LD, RD",Calgary Flames,Calgary Flames,900000,900000,1,2018,2018-07-25,other
Brett Seney,LW,New Jersey Devils,NA,1650000,825000,2,2018,2018-03-16,other
Brock Nelson,"C, LW",New York Islanders,New York Islanders,4250000,4250000,1,2018,2018-07-23,UFA
Bryan Rust,"RW, LW",Pittsburgh Penguins,Pittsburgh Penguins,14000000,3500000,4,2018,2018-06-26,UFA
Cale Fleury,RD,Montreal Canadiens,NA,2650000,883333,3,2018,2018-10-04,RFA
Calle Rosen,"RD, LD",Toronto Maple Leafs,Toronto Maple Leafs,1500000,750000,2,2018,2018-12-10,UFA
Calvin Pickard,G,Toronto Maple Leafs,Toronto Maple Leafs,800000,800000,1,2018,2018-06-20,UFA
Calvin de Haan,"LD, RD",Carolina Hurricanes,New York Islanders,18200000,4550000,4,2018,2018-07-03,UFA
Cameron Hughes,C,Boston Bruins,NA,2775000,925000,3,2018,2018-03-10,other
Carter Verhaeghe,"RW, LW, C",Tampa Bay Lightning,NA,650000,650000,1,2018,2018-06-12,other
Casey Mittelstadt,C,Buffalo Sabres,Buffalo Sabres,4475000,1491667,3,2018,2018-03-26,other
Charlie Lindgren,G,Montreal Canadiens,Montréal Canadiens,2250000,750000,3,2018,2018-02-13,UFA
Chris Wagner,"C, RW",Boston Bruins,Anaheim Ducks,2500000,1250000,2,2018,2018-07-01,UFA
Christian Dvorak,C,Arizona Coyotes,Arizona Coyotes,26700000,4450000,6,2018,2018-08-09,UFA
Christian Wolanin,LD,Ottawa Senators,Ottawa Senators,1850000,925000,2,2018,2018-03-21,other
Cody Ceci,"RD, LD",Ottawa Senators,Ottawa Senators,4300000,4300000,1,2018,2018-08-03,other
Colin Blackwell,"LW, RW, C",Nashville Predators,NA,1350000,675000,2,2018,2018-07-03,UFA
Colin Miller,RD,Vegas Golden Knights,Vegas Golden Knights,15500000,3875000,4,2018,2018-07-07,UFA
Connor Carrick,RD,Toronto Maple Leafs,Toronto Maple Leafs,1300000,1300000,1,2018,2018-06-20,other
Connor Clifton,"RD, LD",Boston Bruins,NA,1470000,735000,2,2018,2018-05-03,other
Connor Hellebuyck,G,Winnipeg Jets,Winnipeg Jets,37000000,6166667,6,2018,2018-07-12,UFA
Conor Timmins,RD,Colorado Avalanche,NA,2775000,925000,3,2018,2018-03-02,other
Dakota Mermis,"LD, RD",Arizona Coyotes,Arizona Coyotes,700000,700000,1,2018,2018-07-03,other
Daniel Sprong,RW,Pittsburgh Penguins,Pittsburgh Penguins,1500000,750000,2,2018,2018-06-25,other
Darcy Kuemper,G,Arizona Coyotes,Los Angeles Kings,3700000,1850000,2,2018,2018-02-21,UFA
Darnell Nurse,"LD, RD",Edmonton Oilers,Edmonton Oilers,6400000,3200000,2,2018,2018-09-17,other
Darren Raddysh,"RD, LD",Chicago Blackhawks,NA,1460000,730000,2,2018,2018-05-21,other
David Perron,"LW, RW",St. Louis Blues,Vegas Golden Knights,16000000,4000000,4,2018,2018-07-01,UFA
David Rittich,G,Calgary Flames,Calgary Flames,800000,800000,1,2018,2018-07-26,other
Dennis Gilbert,"LD, RD",Chicago Blackhawks,NA,2775000,925000,3,2018,2018-04-13,other
Derek Ryan,"C, RW",Calgary Flames,Carolina Hurricanes,9375000,3125000,3,2018,2018-07-01,UFA
Derrick Pouliot,"LD, RD",Vancouver Canucks,Vancouver Canucks,1100000,1100000,1,2018,2018-06-26,other
Devin Shore,"LW, C",Dallas Stars,Dallas Stars,4600000,2300000,2,2018,2018-07-13,other
Devon Toews,LD,New York Islanders,NA,1400000,700000,2,2018,2018-07-16,other
Drake Caggiula,LW,Edmonton Oilers,Edmonton Oilers,3000000,1500000,2,2018,2018-06-14,other
Drew Doughty,"RD, LD",Los Angeles Kings,Los Angeles Kings,88000000,11000000,8,2018,2018-07-01,UFA
Dustin Tokarski,G,New York Rangers,Anaheim Ducks,650000,650000,1,2018,2018-08-20,UFA
Dylan DeMelo,RD,San Jose Sharks,San Jose Sharks,1800000,900000,2,2018,2018-07-07,UFA
Dylan Gambrell,C,San Jose Sharks,San Jose Sharks,2275000,1137500,2,2018,2018-03-27,other
Dylan Larkin,C,Detroit Red Wings,Detroit Red Wings,30500000,6100000,5,2018,2018-08-10,UFA
Eeli Tolvanen,"LW, RW",Nashville Predators,Nashville Predators,9437500,3145833,3,2018,2018-03-29,RFA
Egor Zamula,"LD, RD",Philadelphia Flyers,NA,2500000,783333,3,2018,2018-09-20,RFA
Elias Lindholm,"C, RW, LW",Calgary Flames,Carolina Hurricanes,29100000,4850000,6,2018,2018-07-16,UFA
Elias Pettersson,"C, LW",Vancouver Canucks,NA,11325000,3775000,3,2018,2018-05-25,RFA
Eric Comrie,G,Winnipeg Jets,Winnipeg Jets,650000,650000,1,2018,2018-09-06,other
Eric Robinson,"LW, RW",Columbus Blue Jackets,Columbus Blue Jackets,1850000,925000,2,2018,2018-03-26,other
Erik Gudbranson,RD,Vancouver Canucks,Vancouver Canucks,12000000,4000000,3,2018,2018-02-20,UFA
Erik Gustafsson,LD,Chicago Blackhawks,Chicago Blackhawks,2400000,1200000,2,2018,2018-03-06,UFA
Evan Bouchard,RD,Edmonton Oilers,NA,4975000,1658333,3,2018,2018-07-17,RFA
Evander Kane,"LW, RW",San Jose Sharks,Buffalo Sabres,49000000,7000000,7,2018,2018-05-24,UFA
Felix Sandstrom,G,Philadelphia Flyers,NA,2775000,925000,3,2018,2018-03-28,other
Frank Vatrano,"RW, LW",Florida Panthers,Boston Bruins,925000,925000,1,2018,2018-06-29,other
Gabriel Fortier,LW,Tampa Bay Lightning,NA,2825000,925000,3,2018,2018-12-19,RFA
Gabriel Vilardi,"RW, C",Los Angeles Kings,NA,4975000,1658333,3,2018,2018-03-01,RFA
Gage Quinney,C,Vegas Golden Knights,NA,1430000,715000,2,2018,2018-06-01,other
Garnet Hathaway,RW,Calgary Flames,Calgary Flames,850000,850000,1,2018,2018-07-30,UFA
Gustav Lindstrom,"RD, LD",Detroit Red Wings,NA,2775000,925000,3,2018,2018-05-25,RFA
Henri Jokiharju,RD,Chicago Blackhawks,NA,3837500,1279166,3,2018,2018-06-12,RFA
Hudson Fasching,"RW, LW",Arizona Coyotes,Buffalo Sabres,874125,874125,1,2018,2018-07-14,other
Ian Cole,"LD, RD",Colorado Avalanche,Pittsburgh Penguins,12750000,4250000,3,2018,2018-07-01,UFA
Ilya Lyubushkin,RD,Arizona Coyotes,NA,1350000,1350000,1,2018,2018-05-23,other
Ilya Samsonov,G,Washington Capitals,NA,4425000,1475000,3,2018,2018-05-03,other
Isac Lundestrom,"C, LW",Anaheim Ducks,NA,2775000,925000,3,2018,2018-08-04,RFA
J.T. Miller,"C, LW",Tampa Bay Lightning,New York Rangers,26250000,5250000,5,2018,2018-06-26,UFA
Jack Johnson,"LD, RD",Pittsburgh Penguins,Columbus Blue Jackets,16250000,3250000,5,2018,2018-07-01,UFA
Jacob MacDonald,"RD, LD",Florida Panthers,NA,1500000,750000,2,2018,2018-07-02,UFA
Jacob Trouba,RD,Winnipeg Jets,Winnipeg Jets,5500000,5500000,1,2018,2018-07-22,other
Jake Evans,"C, RW",Montreal Canadiens,NA,2700000,1350000,2,2018,2018-04-09,other
Jake Guentzel,"LW, C",Pittsburgh Penguins,Pittsburgh Penguins,30000000,6000000,5,2018,2018-12-27,UFA
Jake Leschyshyn,C,Vegas Golden Knights,NA,2875000,925000,3,2018,2018-06-01,RFA
Jakob Chychrun,"LD, RD",Arizona Coyotes,Arizona Coyotes,27600000,4600000,6,2018,2018-11-13,UFA
Jakub Lauko,"LW, RW, C",Boston Bruins,NA,2800000,925000,3,2018,2018-09-28,RFA
Jakub Skarek,G,New York Islanders,NA,2925000,925000,3,2018,2018-07-05,RFA
James van Riemsdyk,LW,Philadelphia Flyers,Toronto Maple Leafs,35000000,7000000,5,2018,2018-07-01,UFA
Jamie Oleksiak,"LD, RD",Pittsburgh Penguins,Dallas Stars,6412500,2137500,3,2018,2018-07-12,UFA
Jan Rutta,"RD, LD",Chicago Blackhawks,Chicago Blackhawks,2250000,2250000,1,2018,2018-03-08,UFA
Jared McCann,"LW, C",Florida Panthers,Florida Panthers,2500000,1250000,2,2018,2018-07-01,other
Jarred Tinordi,LD,Nashville Predators,Montréal Canadiens,650000,650000,1,2018,2018-07-01,UFA
Jason Dickinson,"C, RW",Dallas Stars,Dallas Stars,875000,875000,1,2018,2018-07-06,other
Jason Robertson,LW,Dallas Stars,NA,2775000,925000,3,2018,2018-05-03,RFA
Jason Zucker,"LW, RW",Minnesota Wild,Minnesota Wild,27500000,5500000,5,2018,2018-07-25,UFA
Jesperi Kotkaniemi,"C, LW",Montreal Canadiens,NA,10275000,3425000,3,2018,2018-07-01,RFA
Jimmy Vesey,LW,New York Rangers,New York Rangers,4550000,2275000,2,2018,2018-07-17,UFA
Joel Armia,"LW, RW",Montreal Canadiens,Winnipeg Jets,1850000,1850000,1,2018,2018-07-13,other
Joel Edmundson,"LD, RD",St. Louis Blues,St. Louis Blues,3000000,3000000,1,2018,2018-07-24,other
Joel Hanley,"LD, RD",Dallas Stars,Arizona Coyotes,650000,650000,1,2018,2018-07-01,UFA
Joey Anderson,"RW, LW",New Jersey Devils,NA,2775000,925000,3,2018,2018-04-15,other
John Carlson,"RD, LD",Washington Capitals,Washington Capitals,64000000,8000000,8,2018,2018-06-25,UFA
John Gibson,G,Anaheim Ducks,Anaheim Ducks,51200000,6400000,8,2018,2018-08-04,UFA
John Hayden,C,Chicago Blackhawks,Chicago Blackhawks,1500000,750000,2,2018,2018-06-15,other
John Tavares,C,Toronto Maple Leafs,New York Islanders,77000000,11000000,7,2018,2018-07-01,UFA
Jon Merrill,"RD, LD",Vegas Golden Knights,Vegas Golden Knights,2750000,1375000,2,2018,2018-01-16,UFA
Jonathan Marchessault,"RW, C",Vegas Golden Knights,Vegas Golden Knights,30000000,5000000,6,2018,2018-01-03,UFA
Jordan Binnington,G,St. Louis Blues,St. Louis Blues,650000,650000,1,2018,2018-07-06,other
Jordan Greenway,"LW, RW",Minnesota Wild,Minnesota Wild,3675000,1225000,3,2018,2018-03-26,other
Josh Brown,"RD, LD",Florida Panthers,NA,1350000,675000,2,2018,2018-05-31,other
Josh Morrissey,LD,Winnipeg Jets,Winnipeg Jets,6300000,3150000,2,2018,2018-09-16,other
Justin Bailey,RW,Buffalo Sabres,Buffalo Sabres,715000,715000,1,2018,2018-07-15,other
Justin Holl,RD,Toronto Maple Leafs,Toronto Maple Leafs,1350000,675000,2,2018,2018-07-03,UFA
Juuse Saros,G,Nashville Predators,Nashville Predators,4500000,1500000,3,2018,2018-07-16,other
Kaapo Kahkonen,G,Minnesota Wild,NA,1850000,925000,2,2018,2018-05-16,other
Kevin Connauton,"LD, RD",Arizona Coyotes,Arizona Coyotes,2750000,1375000,2,2018,2018-06-27,UFA
Kevin Gravel,LD,Edmonton Oilers,Los Angeles Kings,700000,700000,1,2018,2018-07-01,UFA
Kevin Hayes,"C, RW",New York Rangers,New York Rangers,5175000,5175000,1,2018,2018-07-30,UFA
Kevin Lankinen,G,Chicago Blackhawks,NA,2275000,1137500,2,2018,2018-05-21,other
Kevin Rooney,C,New Jersey Devils,New Jersey Devils,1400000,700000,2,2018,2018-08-13,UFA
Kiefer Sherwood,LW,Anaheim Ducks,NA,1850000,925000,2,2018,2018-03-20,other
Kole Lind,RW,Vancouver Canucks,NA,3375000,1125000,3,2018,2018-03-01,RFA
Kurtis MacDermid,LW,Los Angeles Kings,Los Angeles Kings,1350000,675000,2,2018,2018-07-15,other
Kyle Burroughs,"RD, LD",New York Islanders,NA,1350000,675000,2,2018,2018-07-16,other
Lars Eller,"C, LW, RW",Washington Capitals,Washington Capitals,17500000,3500000,5,2018,2018-02-10,UFA
Laurent Brossoit,G,Winnipeg Jets,Edmonton Oilers,650000,650000,1,2018,2018-07-01,other
Liam Foudy,"LW, RW, C",Columbus Blue Jackets,NA,3900000,1300000,3,2018,2018-07-30,RFA
Liam O'Brien,"RW, LW, C",Washington Capitals,Washington Capitals,650000,650000,1,2018,2018-07-13,other
Logan Couture,C,San Jose Sharks,San Jose Sharks,64000000,8000000,8,2018,2018-07-01,UFA
Logan O'Connor,RW,Colorado Avalanche,NA,2275000,1137500,2,2018,2018-07-23,other
Louie Belpedio,RD,Minnesota Wild,Minnesota Wild,1850000,925000,2,2018,2018-04-05,other
Louis Domingue,G,Tampa Bay Lightning,Arizona Coyotes,2300000,1150000,2,2018,2018-06-22,UFA
Lucas Carlsson,LD,Chicago Blackhawks,NA,2775000,925000,3,2018,2018-05-21,other
Luke Schenn,RD,Anaheim Ducks,Arizona Coyotes,800000,800000,1,2018,2018-07-01,UFA
MacKenzie Entwistle,"C, RW",Chicago Blackhawks,NA,2775000,925000,3,2018,2018-10-16,RFA
MacKenzie Weegar,"LD, RD",Florida Panthers,Florida Panthers,900000,900000,1,2018,2018-07-25,other
Mackenzie MacEachern,"LW, RW",St. Louis Blues,NA,650000,650000,1,2018,2018-07-03,other
Marc-Andre Fleury,G,Vegas Golden Knights,Vegas Golden Knights,21000000,7000000,3,2018,2018-07-13,UFA
Mark Jankowski,"C, RW",Calgary Flames,Calgary Flames,3350000,1675000,2,2018,2018-07-25,other
Mark Stone,RW,Ottawa Senators,Ottawa Senators,7350000,7350000,1,2018,2018-08-03,UFA
Martin Fehervary,LD,Washington Capitals,NA,2825000,925000,3,2018,2018-07-01,RFA
Martin Frk,RW,Detroit Red Wings,Detroit Red Wings,1050000,1050000,1,2018,2018-06-25,other
Mason Geertsen,LW,Colorado Avalanche,NA,650000,650000,1,2018,2018-07-13,other
Mason Marchment,LW,Toronto Maple Leafs,NA,1850000,925000,2,2018,2018-03-18,other
Mason Shaw,"LW, RW, C",Minnesota Wild,NA,2775000,925000,3,2018,2018-04-27,RFA
Mathew Dumba,RD,Minnesota Wild,Minnesota Wild,30000000,6000000,5,2018,2018-07-21,UFA
Matt Benning,RD,Edmonton Oilers,Edmonton Oilers,3800000,1900000,2,2018,2018-06-19,other
Matt Grzelcyk,"LD, RD",Boston Bruins,Boston Bruins,2800000,1400000,2,2018,2018-06-15,other
Matt Nieto,LW,Colorado Avalanche,Colorado Avalanche,3950000,1975000,2,2018,2018-07-06,UFA
