player_id,player_name,season,team,position,birth_date,birth_city,birth_country,birth_state_province
8471699,Andrew Cogliano,20152016,ANA,L,1987-06-14,Toronto,CAN,ON
8471418,Anton Khudobin,20152016,ANA,G,1986-05-07,Ust-Kamenogorsk,KAZ,NA
8475204,Brandon Pirri,20152016,ANA,C,1991-04-10,Toronto,CAN,ON
8475764,Cam Fowler,20152016,ANA,D,1991-12-05,Windsor,CAN,ON
8474176,Carl Hagelin,20152016,ANA,L,1988-08-23,Sodertalje,SWE,NA
8473485,Chris Stewart,20152016,ANA,R,1987-10-30,Toronto,CAN,ON
8475780,Chris Wagner,20152016,ANA,C,1991-05-27,Walpole,USA,MA
8470886,Clayton Stoner,20152016,ANA,D,1985-02-19,Port McNeill,CAN,BC
8470621,Corey Perry,20152016,ANA,R,1985-05-16,Peterborough,CAN,ON
8474102,David Perron,20152016,ANA,L,1988-05-28,Sherbrooke,CAN,QC
8475883,Frederik Andersen,20152016,ANA,G,1989-10-02,Herning,DNK,NA
8476854,Hampus Lindholm,20152016,ANA,D,1994-01-20,Helsingborg,SWE,NA
8476158,Harry Zolnierczyk,20152016,ANA,C,1987-09-01,Toronto,CAN,ON
8475164,Jakob Silfverberg,20152016,ANA,R,1990-10-13,Gavle,SWE,NA
8473465,Jamie McGinn,20152016,ANA,L,1988-08-05,Fergus,CAN,ON
8478137,Jiri Sekac,20152016,ANA,L,1992-06-10,Kladno,CZE,NA
8476434,John Gibson,20152016,ANA,G,1993-07-14,Pittsburgh,USA,PA
8476312,Josh Manson,20152016,ANA,D,1991-10-07,Hinsdale,USA,IL
8469598,Kevin Bieksa,20152016,ANA,D,1981-06-16,Grimsby,CAN,ON
8473560,Korbinian Holzer,20152016,ANA,D,1988-02-16,Munich,DEU,NA
8476384,Max Friberg,20152016,ANA,L,1992-11-20,Skovde,SWE,NA
8475958,Michael Sgarbossa,20152016,ANA,C,1992-07-25,Campbellville,CAN,ON
8471390,Mike Santorelli,20152016,ANA,C,1985-12-14,Vancouver,CAN,BC
8470775,Nate Thompson,20152016,ANA,C,1984-10-05,Anchorage,USA,AK
8477941,Nick Ritchie,20152016,ANA,L,1995-12-05,Orangeville,CAN,ON
8474034,Patrick Maroon,20152016,ANA,L,1988-04-23,St. Louis,USA,MO
8476483,Rickard Rakell,20152016,ANA,L,1993-05-05,Sundbyberg,SWE,NA
8476116,Ryan Garbutt,20152016,ANA,C,1985-08-12,Edmonton,CAN,AB
8470612,Ryan Getzlaf,20152016,ANA,C,1985-05-10,Regina,CAN,SK
8470616,Ryan Kesler,20152016,ANA,C,1984-08-31,Livonia,USA,MI
8475222,Sami Vatanen,20152016,ANA,D,1991-06-03,Jyväskylä,FIN,NA
8467423,Shawn Horcoff,20152016,ANA,C,1978-09-17,Trail,CAN,BC
8477447,Shea Theodore,20152016,ANA,D,1995-08-03,Aldergrove,CAN,BC
8475155,Simon Despres,20152016,ANA,D,1991-07-27,Laval,CAN,QC
8476474,Stefan Noesen,20152016,ANA,R,1993-02-12,Plano,USA,TX
8469490,Tim Jackman,20152016,ANA,R,1981-11-14,Minot,USA,ND
8474005,Alex Grant,20152016,ARI,D,1989-01-20,Antigonish,CAN,NS
8467338,Alex Tanguay,20152016,ARI,L,1979-11-21,Ste-Justine,CAN,QC
8474765,Anders Lindback,20152016,ARI,G,1988-05-03,Gavle,SWE,NA
8477407,Anthony Duclair,20152016,ARI,L,1995-08-26,Pointe-Claire,CAN,QC
8468535,Antoine Vermette,20152016,ARI,C,1982-07-20,St. Agapit,CAN,QC
8470159,Boyd Gordon,20152016,ARI,C,1983-10-19,Unity,CAN,SK
8470755,Brad Richardson,20152016,ARI,C,1985-02-04,Belleville,CAN,ON
8475749,Christian Thomas,20152016,ARI,L,1992-05-26,Toronto,CAN,ON
8476473,Connor Murphy,20152016,ARI,D,1993-03-26,Dublin,USA,OH
8475414,Craig Cunningham,20152016,ARI,L,1990-09-13,Trail,CAN,BC
8474138,Dustin Jeffrey,20152016,ARI,C,1988-02-27,Sarnia,CAN,ON
8474554,Eric Selleck,20152016,ARI,L,1987-10-20,Brockville,CAN,ON
8475797,Jarred Tinordi,20152016,ARI,D,1992-02-20,Millersville,USA,MD
8478137,Jiri Sekac,20152016,ARI,L,1992-06-10,Kladno,CZE,NA
8471856,Joe Vitale,20152016,ARI,C,1985-08-20,St. Louis,USA,MO
8473722,John Scott,20152016,ARI,L,1982-09-26,Edmonton,CAN,AB
8476921,Jordan Martinook,20152016,ARI,L,1992-07-25,Brandon,CAN,MB
8475246,Kevin Connauton,20152016,ARI,D,1990-02-23,Edmonton,CAN,AB
8476403,Klas Dahlbeck,20152016,ARI,D,1991-07-06,Katrineholm,SWE,NA
8471231,Kyle Chipchura,20152016,ARI,C,1986-02-19,Westlock,CAN,AB
8477460,Laurent Dauphin,20152016,ARI,C,1995-03-27,Repentigny,CAN,QC
8475839,Louis Domingue,20152016,ARI,G,1992-03-06,St-Hyacinthe,CAN,QC
8471691,Martin Hanzal,20152016,ARI,C,1987-02-20,Pisek,CZE,NA
8477503,Max Domi,20152016,ARI,L,1995-03-02,Winnipeg,CAN,MB
8474628,Michael Stone,20152016,ARI,D,1990-06-07,Winnipeg,CAN,MB
8469608,Mike Smith,20152016,ARI,G,1982-03-22,Kingston,CAN,ON
8474571,Mikkel Boedker,20152016,ARI,L,1989-12-16,Brondby,DNK,NA
8471269,Nicklas Grossmann,20152016,ARI,D,1985-01-22,Stockholm,SWE,NA
8478999,Niklas Treutle,20152016,ARI,G,1991-04-29,Nuremberg,DEU,NA
8475171,Oliver Ekman-Larsson,20152016,ARI,D,1991-07-17,Karlskrona,SWE,NA
8475194,Philip Samuelsson,20152016,ARI,D,1991-07-26,Leksand,SWE,NA
8478928,Sergei Plotnikov,20152016,ARI,L,1990-06-03,Komsomolsk,RUS,NA
8462038,Shane Doan,20152016,ARI,R,1976-10-10,Halkirk,CAN,AB
8475206,Stefan Elliott,20152016,ARI,D,1991-01-30,Vancouver,CAN,BC
8471703,Steve Downie,20152016,ARI,R,1987-04-03,Newmarket,CAN,ON
8476356,Tobias Rieder,20152016,ARI,R,1993-01-10,Landshut,DEU,NA
8477715,Tyler Gaudet,20152016,ARI,C,1993-04-04,Hamilton,CAN,ON
8474588,Viktor Tikhonov,20152016,ARI,R,1988-05-12,Riga,LVA,NA
8469760,Zbynek Michalek,20152016,ARI,D,1982-12-23,Jindrichuv Hradec,CZE,NA
8471717,Adam McQuaid,20152016,BOS,D,1986-10-12,Charlottetown,CAN,PE
8476435,Alex Khokhlachev,20152016,BOS,C,1993-09-09,Moscow,RUS,NA
8473419,Brad Marchand,20152016,BOS,L,1988-05-11,Halifax,CAN,NS
8475792,Brett Connolly,20152016,BOS,R,1992-05-02,Campbell River,CAN,BC
8467967,Chris Kelly,20152016,BOS,C,1980-11-11,Toronto,CAN,ON
8476525,Colin Miller,20152016,BOS,D,1992-10-29,Sault Ste. Marie,CAN,ON
8471276,David Krejci,20152016,BOS,C,1986-04-28,Sternberk,CZE,NA
8477956,David Pastrnak,20152016,BOS,R,1996-05-25,Havirov,CZE,NA
8469619,Dennis Seidenberg,20152016,BOS,D,1981-07-18,Schwenningen,DEU,NA
