contract_id,walk_year_position_group,walk_year_toi_per_game,walk_year_toi_total,walk_year_games,walk_year_goals,walk_year_assists,walk_year_points,walk_year_points_per_game,post_signing_seasons_observed,post_signing_avg_toi_per_game,post_signing_avg_points_per_game,contract_complete,post_signing_toi_change,post_signing_points_change,trajectory_prior_seasons_found,trajectory_toi_slope,trajectory_points_slope,trajectory,tier_toi_percentile,tier
27,defense,14.927291666666667,1194.1833333333334,80,3,13,16,0.2,1,12.722368333333332,0.13157894736842105,TRUE,-2.204923333333335,-0.06842105263157897,2,2.394974999999098,-0.025236079452937328,rising,0.1606425702811245,fringe
28,forward,20.866666666666667,1690.2,81,25,49,74,0.9135802469135802,7,20.989653333333333,0.8609162601949447,FALSE,0.12298666666666591,-0.05266398671863548,3,-0.5444966666668826,-0.04174521949906814,declining,0.9966159052453468,top
29,forward,20.302235,1664.78327,82,28,46,74,0.9024390243902439,2,19.33756833333333,0.8378958668813741,TRUE,-0.9646666666666697,-0.06454315750886985,2,-0.13532999999998416,-0.029276895943559138,stable,0.9707792207792207,top
30,forward,19.529374999999998,1562.35,80,19,35,54,0.675,5,18.745908,0.7302157276412674,TRUE,-0.7834669999999981,0.055215727641267365,1,NA,NA,insufficient_history,0.9243697478991597,top
31,forward,17.854901666666667,1214.1333133333333,68,33,23,56,0.8235294117647058,6,17.726561944444445,0.6300480138561099,FALSE,-0.128339722222222,-0.19348139790859598,3,-0.01042166666666003,-0.06099683544305871,stable,0.864406779661017,top
32,defense,23.157519999999998,1898.91664,82,4,19,23,0.2804878048780488,5,21.603043999999997,0.3452247887546395,TRUE,-1.554476000000001,0.06473698387659071,1,NA,NA,insufficient_history,0.8754208754208754,top
33,defense,21.23444333333333,1592.58325,75,6,22,28,0.37333333333333335,7,18.331023333333334,0.24316841956455695,FALSE,-2.903419999999997,-0.1301649137687764,3,1.2076208333336158,0.1428966279712996,rising,0.7661016949152543,top
34,defense,25.63619,897.26665,35,5,33,38,1.0857142857142856,7,25.599885476190476,0.7683647302803062,FALSE,-0.036304523809523204,-0.31734955543397947,2,1.6390299999993785,0.22683319903295182,rising,0.9792387543252595,top
35,defense,25.77735,2010.6333,78,10,58,68,0.8717948717948718,3,24.385663333333333,0.5644484834271419,FALSE,-1.391686666666665,-0.3073463883677299,2,-0.23382166666669088,-0.14022698612864606,stable,0.9912790697674418,top
36,forward,6.530833333333334,391.85,60,3,1,4,0.06666666666666667,2,7.985274166666667,0.13325950535252862,TRUE,1.454440833333333,0.06659283868586195,NA,NA,NA,insufficient_history,0.06890756302521009,fringe
37,forward,8.522486666666667,536.9166600000001,63,2,6,8,0.12698412698412698,4,8.25725625,0.1249326066572902,TRUE,-0.26523041666666813,-0.002051520326836781,2,0.9172283333334675,0.07286821705427432,rising,0.13425129087779691,fringe
