contract_id,model_position_group,cap_ceiling,aav_cap_share,eligible_overpay,expected_toi,overpay_residual,overpay_residual_std,partial_delivery_flag
1,defense,81500000,0.04478527607361963,TRUE,19.06542253347901,1.6532178831876543,0.6878217453492366,FALSE
2,defense,88000000,0.03409090909090909,FALSE,NA,NA,NA,FALSE
3,defense,73000000,0.1095890410958904,TRUE,25.778747142749463,-1.281858333225653,-0.5333175046169354,TRUE
4,forward,81500000,0.03987730061349693,TRUE,14.628529728459892,-0.9045547284598925,-0.37634023828338065,FALSE
5,forward,81500000,0.009202453987730062,FALSE,NA,NA,NA,FALSE
6,forward,81500000,0.012269938650306749,TRUE,12.224458391693164,0.3130141083068363,0.13022960402497955,FALSE
7,forward,83500000,0.04790419161676647,TRUE,15.327517868291606,-1.9454195349582744,-0.8093923212295753,FALSE
8,forward,88000000,0.0125,TRUE,12.244492319499553,-0.5800006528328847,-0.2413094277482653,FALSE
9,forward,88000000,0.015909090909090907,FALSE,NA,NA,NA,FALSE
10,forward,81500000,0.1165644171779141,TRUE,21.306505663923033,-1.8675019139230322,-0.7769746740223091,TRUE
11,forward,82500000,0.07393939393939394,TRUE,17.594684276085484,0.7609557239145168,0.31659583378518547,TRUE
12,forward,88000000,0.09886363636363636,TRUE,19.765107400273862,0.5910825997261391,0.2459200747364824,TRUE
13,defense,79500000,0.040880503144654086,TRUE,18.660908873067015,-0.0037142897336828185,-0.0015453312435917313,TRUE
14,defense,81500000,0.01411042944785276,FALSE,NA,NA,NA,FALSE
15,defense,81500000,0.009202453987730062,TRUE,15.379231845416358,1.368964821250307,0.5695581824088045,FALSE
16,defense,82500000,0.011515151515151515,TRUE,15.618814981045928,3.52435668562074,1.4663095478152097,FALSE
17,defense,83500000,0.009281437125748504,TRUE,15.387414077482573,-0.4601224108159041,-0.19143405288567772,FALSE
18,defense,88000000,0.008806818181818181,TRUE,15.338246084925066,-2.615877751591734,-1.088336642748397,FALSE
19,forward,73000000,0.136986301369863,TRUE,23.084859803449106,-2.095206470115773,-0.8717112159247455,TRUE
20,forward,83500000,0.08383233532934131,FALSE,NA,NA,NA,FALSE
21,forward,75000000,0.07666666666666666,TRUE,17.83217738389941,-0.1056154394549651,-0.04394133201709078,TRUE
22,defense,75000000,0.09333333333333334,TRUE,24.094742472249546,-5.763719138916212,-2.3979968993489003,TRUE
23,defense,82500000,0.07393939393939394,TRUE,22.085633733593873,2.30002959973946,0.9569279341434088,TRUE
24,forward,79500000,0.03490566037735849,TRUE,14.195595288568358,-3.6879977885683584,-1.5343924727490246,FALSE
25,forward,81500000,0.02147239263803681,TRUE,13.02581550394874,-2.3767821706154066,-0.9888608619182665,TRUE
26,forward,81500000,0.02147239263803681,FALSE,NA,NA,NA,FALSE
27,forward,83500000,0.016167664670658683,TRUE,12.563875515886044,-4.605475515886043,-1.9161093281860826,TRUE
28,forward,73000000,0.0839041095890411,TRUE,18.462419748394964,0.83849477541456,0.34885597703542043,TRUE
29,forward,81500000,0.046625766871165646,TRUE,15.216191610780648,-2.801365777447316,-1.165508985839298,FALSE
30,forward,83500000,0.04790419161676647,TRUE,15.327517868291606,2.437120465041728,1.013964625557507,FALSE
31,forward,88000000,0.05113636363636364,TRUE,15.608978013530162,0.5253503198031702,0.2185721419792917,TRUE
32,defense,71400000,0.08403361344537816,FALSE,NA,NA,NA,FALSE
33,defense,83500000,0.038922155688622756,TRUE,18.458034515912626,-3.9846528492459576,-1.657815890603977,FALSE
34,defense,88000000,0.011363636363636364,TRUE,15.60311881902518,-1.8221671523585172,-0.7581131342691992,FALSE
35,forward,73000000,0.0273972602739726,TRUE,13.54175775430507,0.316078912361597,0.1315047165770131,FALSE
36,forward,81500000,0.009202453987730062,TRUE,11.957339354274637,0.8741189790586983,0.3636774365516593,FALSE
37,forward,81500000,0.0098159509202454,FALSE,NA,NA,NA,FALSE
38,forward,82500000,0.012121212121212121,TRUE,12.211507165636506,-0.09280883230317372,-0.038613139664027955,FALSE
39,forward,83500000,0.009281437125748504,TRUE,11.964217269609367,-0.32844560294269876,-0.13664988152241422,FALSE
40,forward,88000000,0.00909090909090909,TRUE,11.947625934732145,-1.6540892680654782,-0.6881842852622334,FALSE
41,defense,71400000,0.07703081232492998,FALSE,NA,NA,NA,FALSE
42,defense,81500000,0.07668711656441718,FALSE,NA,NA,NA,FALSE
43,forward,82500000,0.07878787878787878,TRUE,18.016894245532463,1.1531007544675376,0.47974787931286633,FALSE
44,forward,83500000,0.03473053892215569,TRUE,14.180345571066656,1.2468310956000117,0.5187444129733965,TRUE
45,forward,81500000,0.11288343558282209,TRUE,20.985962819020802,-4.676856707909689,-1.9458074923434563,TRUE
46,forward,73000000,0.06095890410958904,TRUE,16.464332756855434,0.7358825209223419,0.30616412093054296,TRUE
47,forward,83500000,0.0748502994011976,TRUE,17.674006658069906,0.36021250859675646,0.14986651117148894,TRUE
48,forward,73000000,0.13013698630136986,TRUE,22.488415925377602,-5.129664734901411,-2.134198393870039,TRUE
49,defense,71400000,0.029411764705882353,FALSE,NA,NA,NA,FALSE
50,defense,79500000,0.05345911949685535,TRUE,19.963986474789444,-1.236705641456112,-0.5145317150510378,TRUE
51,defense,81500000,0.03558282208588957,TRUE,18.112097355531773,-0.9600973555317722,-0.3994487632288041,FALSE
52,defense,82500000,0.03636363636363636,TRUE,18.19298555244851,1.193337780884825,0.4964885049856534,FALSE
53,defense,83500000,0.03592814371257485,TRUE,18.147870835263127,0.5414441647368733,0.22526799049644883,FALSE
54,defense,88000000,0.035227272727272725,TRUE,18.0752643372929,2.241167329373763,0.9324382707119391,FALSE
55,defense,92400000,0.030303030303030304,FALSE,NA,NA,NA,FALSE
56,forward,79500000,0.0220125786163522,TRUE,13.072855334437538,1.0967379988957937,0.45629813968429445,FALSE
57,forward,81500000,0.011042944785276074,TRUE,12.117610776725753,0.29619088994091314,0.12323029949499875,FALSE
58,forward,81500000,0.011042944785276074,TRUE,12.117610776725753,0.2784792232742461,0.11586135581032171,TRUE
59,forward,82500000,0.012121212121212121,TRUE,12.211507165636506,-0.6181963323031727,-0.2572007504742193,FALSE
60,forward,88000000,0.014772727272727272,TRUE,12.442403242677823,-0.8213665760111546,-0.3417297850626938,FALSE
61,forward,79500000,0.0880503144654088,TRUE,18.823474611692966,-3.080782528359629,-1.2817604002758214,TRUE
62,forward,83500000,0.011976047904191617,TRUE,12.198866148587197,1.3072355180794695,0.5438756892069462,FALSE
63,forward,88000000,0.010227272727272727,TRUE,12.046581396321281,0.2867519370120526,0.11930322058796444,FALSE
64,forward,79500000,0.10062893081761007,TRUE,19.918830664503524,-1.1309543311701908,-0.4705338539381511,TRUE
65,forward,71400000,0.01610644257703081,FALSE,NA,NA,NA,FALSE
66,forward,73000000,0.012328767123287671,TRUE,12.229581222547766,2.3776979441189017,0.9892418697309234,FALSE
67,forward,79500000,0.03459119496855346,TRUE,14.168211387248094,-2.8265955539147622,-1.1760058411304768,TRUE
68,forward,81500000,0.009202453987730062,TRUE,11.957339354274637,-0.5297893542746355,-0.22041900346614035,FALSE
69,forward,83500000,0.009281437125748504,FALSE,NA,NA,NA,FALSE
70,defense,71400000,0.03851540616246499,FALSE,NA,NA,NA,FALSE
71,defense,75000000,0.058,TRUE,20.434397489011243,-5.912796933455686,-2.46002075589904,TRUE
72,defense,81500000,0.0098159509202454,TRUE,15.442786857279508,-1.524640190612839,-0.6343269617401552,FALSE
73,defense,82500000,0.013333333333333334,TRUE,15.807168925294896,0.019761908038438136,0.008221947159330808,FALSE
74,defense,88000000,0.011363636363636364,TRUE,15.60311881902518,-2.6590721523585117,-1.1063076848154196,FALSE
75,forward,73000000,0.05136986301369863,TRUE,15.62931132755533,1.9238386724446688,0.8004135975711855,FALSE
76,forward,79500000,0.050314465408805034,TRUE,15.537406453261292,1.9286952134053745,0.802434162745276,TRUE
77,forward,82500000,0.05757575757575758,TRUE,16.16972562920193,0.1039952041314045,0.04326723267455334,FALSE
78,forward,88000000,0.045454545454545456,TRUE,15.114200705584485,-1.4271040389178182,-0.593747019570547,TRUE
79,forward,83500000,0.03293413173652695,TRUE,14.023912985081434,4.352420348251897,1.8108256575690227,FALSE
80,forward,88000000,0.07386363636363637,TRUE,17.588087245312877,0.11718942135379251,0.04875669030183316,FALSE
81,defense,71400000,0.014705882352941176,FALSE,NA,NA,NA,FALSE
82,defense,73000000,0.015753424657534248,FALSE,NA,NA,NA,FALSE
83,defense,79500000,0.01729559748427673,TRUE,16.217638369837463,-1.9189542031707951,-0.7983814128148831,TRUE
84,defense,82500000,0.011515151515151515,TRUE,15.618814981045928,-2.4700499810459284,-1.0276649595557352,FALSE
85,forward,75000000,0.05333333333333334,FALSE,NA,NA,NA,FALSE
86,forward,81500000,0.06134969325153374,TRUE,16.498362990389573,-1.2252663237229076,-0.5097723838286548,TRUE
87,forward,83500000,0.02694610778443114,TRUE,13.502471031797366,-0.05169519846403503,-0.021507801237395468,FALSE
88,forward,71400000,0.050070028011204484,FALSE,NA,NA,NA,FALSE
89,forward,79500000,0.06729559748427673,TRUE,17.01613712455554,1.0545258754444582,0.43873577435879224,TRUE
90,forward,83500000,0.05389221556886228,FALSE,NA,NA,NA,FALSE
91,defense,79500000,0.08490566037735849,TRUE,23.221680479095518,-1.6987690902066284,-0.7067733372919416,TRUE
92,forward,79500000,0.0880503144654088,TRUE,18.823474611692966,-1.3917579450262991,-0.579041267691753,TRUE
93,forward,83500000,0.04790419161676647,TRUE,15.327517868291606,-0.8938312016249377,-0.37187871205690637,FALSE
94,forward,88000000,0.016747386363636364,TRUE,12.614358148281266,0.8833885183854004,0.3675340308839092,FALSE
95,defense,81500000,0.06441717791411043,TRUE,21.09918291309978,-1.82934402421089,-0.7610990737354049,FALSE
96,defense,88000000,0.045454545454545456,TRUE,19.134755273693354,-0.38863194036002113,-0.16169042340715367,FALSE
97,forward,79500000,0.0440251572327044,TRUE,14.989728426856013,1.1264165731439864,0.4686459184897767,TRUE
98,forward,83500000,0.029341317365269463,TRUE,13.711047813110994,1.0233905202223372,0.4257819014369392,FALSE
