player_id,player_name,name_key,name_key_ascii,first_name,last_name,first_name_key,last_name_key,name_key_first_last
8475799,Nino Niederreiter,nino niederreiter,nino niederreiter,Nino,Niederreiter,nino,niederreiter,nino niederreiter
8473456,Rhett Rakhshani,rhett rakhshani,rhett rakhshani,Rhett,Rakhshani,rhett,rakhshani,rhett rakhshani
8473611,Shane Sims,shane sims,shane sims,Shane,Sims,shane,sims,shane sims
8474612,Travis Hamonic,travis hamonic,travis hamonic,Travis,Hamonic,travis,hamonic,travis hamonic
8473501,Ty Wishart,ty wishart,ty wishart,Ty,Wishart,ty,wishart,ty wishart
8471728,Brodie Dupont,brodie dupont,brodie dupont,Brodie,Dupont,brodie,dupont,brodie dupont
8474668,Dale Weise,dale weise,dale weise,Dale,Weise,dale,weise,dale weise
8474613,Derek Stepan,derek stepan,derek stepan,Derek,Stepan,derek,stepan,derek stepan
8474634,Evgeny Grachev,evgeny grachev,evgeny grachev,Evgeny,Grachev,evgeny,grachev,evgeny grachev
8470809,Jeremy Williams,jeremy williams,jeremy williams,Jeremy,Williams,jeremy,williams,jeremy williams
8475692,Mats Zuccarello,mats zuccarello,mats zuccarello,Mats,Zuccarello,mats,zuccarello,mats zuccarello
8471714,Michael Sauer,michael sauer,michael sauer,Michael,Sauer,michael,sauer,michael sauer
8474151,Ryan McDonagh,ryan mcdonagh,ryan mcdonagh,Ryan,McDonagh,ryan,mcdonagh,ryan mcdonagh
8470378,Andre Benoit,andre benoit,andre benoit,Andre,Benoit,andre,benoit,andre benoit
8471760,Cody Bass,cody bass,cody bass,Cody,Bass,cody,bass,cody bass
8471862,Colin Greening,colin greening,colin greening,Colin,Greening,colin,greening,colin greening
8473588,Erik Condra,erik condra,erik condra,Erik,Condra,erik,condra,erik condra
8466212,Francis Lessard,francis lessard,francis lessard,Francis,Lessard,francis,lessard,francis lessard
8474024,Jim O'Brien,jim o'brien,jim o'brien,Jim,O'Brien,jim,o'brien,jim o'brien
8474605,Patrick Wiercioch,patrick wiercioch,patrick wiercioch,Patrick,Wiercioch,patrick,wiercioch,patrick wiercioch
8475215,Robin Lehner,robin lehner,robin lehner,Robin,Lehner,robin,lehner,robin lehner
8471368,Roman Wick,roman wick,roman wick,Roman,Wick,roman,wick,roman wick
8476205,Stephane Da Costa,stephane da costa,stephane da costa,Stephane,Costa,stephane,costa,stephane costa
8475603,Ben Holmstrom,ben holmstrom,ben holmstrom,Ben,Holmstrom,ben,holmstrom,ben holmstrom
8474892,Eric Wellwood,eric wellwood,eric wellwood,Eric,Wellwood,eric,wellwood,eric wellwood
8475640,Erik Gustafsson,erik gustafsson,erik gustafsson,Erik,Gustafsson,erik,gustafsson,erik gustafsson
8470597,Nikolay Zherdev,nikolay zherdev,nikolay zherdev,Nikolay,Zherdev,nikolay,zherdev,nikolay zherdev
8475683,Sergei Bobrovsky,sergei bobrovsky,sergei bobrovsky,Sergei,Bobrovsky,sergei,bobrovsky,sergei bobrovsky
8474736,Zac Rinaldo,zac rinaldo,zac rinaldo,Zac,Rinaldo,zac,rinaldo,zac rinaldo
8474050,Brett MacLean,brett maclean,brett maclean,Brett,MacLean,brett,maclean,brett maclean
8473589,Chris Summers,chris summers,chris summers,Chris,Summers,chris,summers,chris summers
8471011,Garrett Stafford,garrett stafford,garrett stafford,Garrett,Stafford,garrett,stafford,garrett stafford
8474068,Kyle Turris,kyle turris,kyle turris,Kyle,Turris,kyle,turris,kyle turris
8467910,Nolan Yonkman,nolan yonkman,nolan yonkman,Nolan,Yonkman,nolan,yonkman,nolan yonkman
8475171,Oliver Ekman-Larsson,oliver ekman-larsson,oliver ekman-larsson,Oliver,Ekman-Larsson,oliver,ekman-larsson,oliver ekman-larsson
8469681,Ryan Hollweg,ryan hollweg,ryan hollweg,Ryan,Hollweg,ryan,hollweg,ryan hollweg
8467927,Andrew Hutchinson,andrew hutchinson,andrew hutchinson,Andrew,Hutchinson,andrew,hutchinson,andrew hutchinson
8470737,Brett Sterling,brett sterling,brett sterling,Brett,Sterling,brett,sterling,brett sterling
8473565,Brian Strait,brian strait,brian strait,Brian,Strait,brian,strait,brian strait
8471856,Joe Vitale,joe vitale,joe vitale,Joe,Vitale,joe,vitale,joe vitale
8471774,Alex Stalock,alex stalock,alex stalock,Alex,Stalock,alex,stalock,alex stalock
8471956,Andrew Desjardins,andrew desjardins,andrew desjardins,Andrew,Desjardins,andrew,desjardins,andrew desjardins
8474850,Brandon Mashinter,brandon mashinter,brandon mashinter,Brandon,Mashinter,brandon,mashinter,brandon mashinter
8474027,Justin Braun,justin braun,justin braun,Justin,Braun,justin,braun,justin braun
8474531,Mike Moore,mike moore,mike moore,Mike,Moore,mike,moore,mike moore
8474739,Tommy Wingels,tommy wingels,tommy wingels,Tommy,Wingels,tommy,wingels,tommy wingels
8471490,Adam Cracknell,adam cracknell,adam cracknell,Adam,Cracknell,adam,cracknell,adam cracknell
8471750,Ben Bishop,ben bishop,ben bishop,Ben,Bishop,ben,bishop,ben bishop
8470871,Chris Porter,chris porter,chris porter,Chris,Porter,chris,porter,chris porter
8474013,Ian Cole,ian cole,ian cole,Ian,Cole,ian,cole,ian cole
8471832,Nick Drazenovic,nick drazenovic,nick drazenovic,Nick,Drazenovic,nick,drazenovic,nick drazenovic
