player_id,player_name,match_status,position,signing_team,signing_team_abbr,previous_team,previous_team_abbr,contract_value,aav,contract_years,signing_year,season_start,season,signing_date,contract_type
8476457,Adam Larsson,exact,"RD, LD",New Jersey Devils,NJD,New Jersey Devils,NJD,25000000,4166666,6,2015,2015,20152016,2015-07-25,UFA
8477960,Adrian Kempe,exact,"LW, RW",Los Angeles Kings,LAK,NA,NA,2775000,925000,3,2015,2015,20152016,2015-04-15,RFA
8475755,Alexander Petrovic,exact,RD,Florida Panthers,FLA,Florida Panthers,FLA,2100000,1050000,2,2015,2015,20152016,2015-07-15,other
8478851,Alexandre Carrier,exact,RD,Nashville Predators,NSH,NA,NA,2070000,693333,3,2015,2015,20152016,2015-11-12,RFA
8475314,Anders Lee,exact,"LW, RW",New York Islanders,NYI,New York Islanders,NYI,15000000,3750000,4,2015,2015,20152016,2015-06-30,UFA
8475461,Andrew Agozzino,exact,LW,Colorado Avalanche,COL,Colorado Avalanche,COL,600000,600000,1,2015,2015,20152016,2015-07-16,other
8477429,Andrew Copp,exact,"C, RW",Winnipeg Jets,WPG,Winnipeg Jets,WPG,2775000,925000,3,2015,2015,20152016,2015-03-28,other
8478463,Anthony Beauvillier,exact,LW,New York Islanders,NYI,NA,NA,2775000,1137500,3,2015,2015,20152016,2015-10-23,RFA
8478409,Anthony Richard,exact,"RW, LW, C",Nashville Predators,NSH,NA,NA,2080000,693333,3,2015,2015,20152016,2015-11-13,RFA
8477320,Anton Blidh,exact,LW,Boston Bruins,BOS,NA,NA,2775000,925000,3,2015,2015,20152016,2015-05-28,RFA
8478550,Artemi Panarin,exact,"RW, LW",Chicago Blackhawks,CHI,NA,NA,7000000,3500000,2,2015,2015,20152016,2015-04-29,other
8475279,Ben Chiarot,exact,"LD, RD",Winnipeg Jets,WPG,Winnipeg Jets,WPG,1700000,850000,2,2015,2015,20152016,2015-06-18,other
8477018,Ben Hutton,exact,"LD, RD",Vancouver Canucks,VAN,NA,NA,1850000,925000,2,2015,2015,20152016,2015-03-16,other
8476399,Blake Coleman,exact,"RW, LW",New Jersey Devils,NJD,NA,NA,1850000,925000,2,2015,2015,20152016,2015-07-01,other
8476869,Brady Skjei,exact,LD,New York Rangers,NYR,NA,NA,2775000,925000,3,2015,2015,20152016,2015-04-01,other
8478443,Brandon Carlo,exact,RD,Boston Bruins,BOS,NA,NA,2775000,925000,3,2015,2015,20152016,2015-09-25,RFA
8477986,Brandon Montour,exact,RD,Anaheim Ducks,ANA,NA,NA,2775000,925000,3,2015,2015,20152016,2015-03-16,other
8476438,Brandon Saad,exact,LW,Columbus Blue Jackets,CBJ,Chicago Blackhawks,CHI,36000000,6000000,6,2015,2015,20152016,2015-07-03,UFA
8478010,Brayden Point,exact,"C, RW",Tampa Bay Lightning,TBL,NA,NA,2775000,925000,3,2015,2015,20152016,2015-03-28,RFA
8474090,Brendan Smith,exact,"LD, RD",Detroit Red Wings,DET,Detroit Red Wings,DET,5500000,2750000,2,2015,2015,20152016,2015-06-30,UFA
8475455,Brenden Dillon,exact,"LD, RD",San Jose Sharks,SJS,Dallas Stars,DAL,16350000,3270000,5,2015,2015,20152016,2015-06-29,UFA
8477488,Brett Pesce,exact,RD,Carolina Hurricanes,CAR,NA,NA,2775000,925000,3,2015,2015,20152016,2015-03-28,RFA
8475208,Brian Dumoulin,exact,LD,Pittsburgh Penguins,PIT,Pittsburgh Penguins,PIT,1600000,800000,2,2015,2015,20152016,2015-07-09,other
8475754,Brock Nelson,exact,"C, LW",New York Islanders,NYI,New York Islanders,NYI,7500000,2500000,3,2015,2015,20152016,2015-09-16,other
8475714,Calle Jarnkrok,exact,"RW, LW, C",Nashville Predators,NSH,Nashville Predators,NSH,735000,735000,1,2015,2015,20152016,2015-07-17,other
8474715,Cam Atkinson,exact,"RW, LW",Columbus Blue Jackets,CBJ,Columbus Blue Jackets,CBJ,10500000,3500000,3,2015,2015,20152016,2015-03-02,UFA
8475690,Chris Tanev,exact,RD,Vancouver Canucks,VAN,Vancouver Canucks,VAN,22250000,4450000,5,2015,2015,20152016,2015-03-24,UFA
8475780,Chris Wagner,exact,"C, RW",Anaheim Ducks,ANA,Anaheim Ducks,ANA,600000,600000,1,2015,2015,20152016,2015-07-16,other
8477989,Christian Dvorak,exact,C,Arizona Coyotes,ARI,NA,NA,3412500,1082500,3,2015,2015,20152016,2015-04-19,RFA
8478432,Christian Fischer,exact,"RW, C",Arizona Coyotes,ARI,NA,NA,2775000,1137500,3,2015,2015,20152016,2015-08-20,RFA
8476892,Colton Parayko,exact,RD,St. Louis Blues,STL,NA,NA,1850000,925000,2,2015,2015,20152016,2015-03-10,other
8478402,Connor McDavid,exact,"C, RW",Edmonton Oilers,EDM,NA,NA,11325000,3775000,3,2015,2015,20152016,2015-07-03,RFA
8478856,Conor Garland,exact,"RW, LW",Arizona Coyotes,ARI,NA,NA,2550000,833333,3,2015,2015,20152016,2015-12-23,RFA
8477839,Conor Sheary,exact,"LW, C, RW",Pittsburgh Penguins,PIT,NA,NA,1850000,925000,2,2015,2015,20152016,2015-07-01,other
