player_id,captain_name,match_status,team,team_abbr,season,source_page,alternate_data_available
8470966,Mark Giordano,exact,Calgary Flames,CGY,20162017,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
8470966,Mark Giordano,exact,Calgary Flames,CGY,20172018,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
8470966,Mark Giordano,exact,Calgary Flames,CGY,20182019,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
8470966,Mark Giordano,exact,Calgary Flames,CGY,20192020,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
8474150,Mikael Backlund,exact,Calgary Flames,CGY,20232024,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
8474150,Mikael Backlund,exact,Calgary Flames,CGY,20242025,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
8470595,Eric Staal,exact,Carolina Hurricanes,CAR,20122013,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8470595,Eric Staal,exact,Carolina Hurricanes,CAR,20132014,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8470595,Eric Staal,exact,Carolina Hurricanes,CAR,20142015,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8470595,Eric Staal,exact,Carolina Hurricanes,CAR,20152016,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8468508,Justin Williams,exact,Carolina Hurricanes,CAR,20182019,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8468508,Justin Williams,exact,Carolina Hurricanes,CAR,20192020,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8468508,Justin Williams,exact,Carolina Hurricanes,CAR,20202021,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8473533,Jordan Staal,exact,Carolina Hurricanes,CAR,20212022,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8473533,Jordan Staal,exact,Carolina Hurricanes,CAR,20222023,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8473533,Jordan Staal,exact,Carolina Hurricanes,CAR,20232024,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8473533,Jordan Staal,exact,Carolina Hurricanes,CAR,20242025,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20122013,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20132014,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20142015,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20152016,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20162017,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20172018,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20182019,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20192020,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20202021,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20212022,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8473604,Jonathan Toews,exact,Chicago Blackhawks,CHI,20222023,https://en.wikipedia.org/wiki/List_of_Chicago_Blackhawks_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20122013,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20132014,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20142015,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20152016,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20162017,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20172018,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20182019,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20192020,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20202021,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20212022,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20222023,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20232024,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8476455,Gabriel Landeskog,exact,Colorado Avalanche,COL,20242025,https://en.wikipedia.org/wiki/List_of_Colorado_Avalanche_captains,FALSE
8473422,Nick Foligno,exact,Columbus Blue Jackets,CBJ,20122013,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8473422,Nick Foligno,exact,Columbus Blue Jackets,CBJ,20132014,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8473422,Nick Foligno,exact,Columbus Blue Jackets,CBJ,20142015,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8473422,Nick Foligno,exact,Columbus Blue Jackets,CBJ,20152016,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8473422,Nick Foligno,exact,Columbus Blue Jackets,CBJ,20162017,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8473422,Nick Foligno,exact,Columbus Blue Jackets,CBJ,20172018,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8473422,Nick Foligno,exact,Columbus Blue Jackets,CBJ,20182019,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8473422,Nick Foligno,exact,Columbus Blue Jackets,CBJ,20192020,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8473422,Nick Foligno,exact,Columbus Blue Jackets,CBJ,20202021,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8476432,Boone Jenner,exact,Columbus Blue Jackets,CBJ,20212022,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8476432,Boone Jenner,exact,Columbus Blue Jackets,CBJ,20222023,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8476432,Boone Jenner,exact,Columbus Blue Jackets,CBJ,20232024,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8476432,Boone Jenner,exact,Columbus Blue Jackets,CBJ,20242025,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20122013,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20132014,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20142015,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20152016,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20162017,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20172018,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20182019,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20192020,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20202021,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20212022,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20222023,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20232024,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8473994,Jamie Benn,exact,Dallas Stars,DAL,20242025,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
8468083,Henrik Zetterberg,exact,Detroit Red Wings,DET,20122013,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
8468083,Henrik Zetterberg,exact,Detroit Red Wings,DET,20132014,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
8468083,Henrik Zetterberg,exact,Detroit Red Wings,DET,20142015,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
8468083,Henrik Zetterberg,exact,Detroit Red Wings,DET,20152016,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
8468083,Henrik Zetterberg,exact,Detroit Red Wings,DET,20162017,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
8468083,Henrik Zetterberg,exact,Detroit Red Wings,DET,20172018,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
