player_id,canonical_name,all_name_variants,normalized_keys,normalized_ascii_keys
8476883,Andrei Vasilevskiy,Andrei Vasilevskiy,andrei vasilevskiy,andrei vasilevskiy
8476884,Derrick Pouliot,Derrick Pouliot,derrick pouliot,derrick pouliot
8476885,Jacob Trouba,Jacob Trouba,jacob trouba,jacob trouba
8476886,Slater Koekkoek,Slater Koekkoek,slater koekkoek,slater koekkoek
8476887,Filip Forsberg,Filip Forsberg,filip forsberg,filip forsberg
8476888,Mikhail Grigorenko,Mikhail Grigorenko,mikhail grigorenko,mikhail grigorenko
8476889,Radek Faksa,Radek Faksa,radek faksa,radek faksa
8476890,Patrick Sieloff,Patrick Sieloff,patrick sieloff,patrick sieloff
8476891,Matt Grzelcyk,Matt Grzelcyk,matt grzelcyk,matt grzelcyk
8476892,Colton Parayko,Colton Parayko,colton parayko,colton parayko
8476894,Brendan Leipsic,Brendan Leipsic,brendan leipsic,brendan leipsic
8476897,Oskar Sundqvist,Oskar Sundqvist,oskar sundqvist,oskar sundqvist
8476899,Matt Murray,Matt Murray,matt murray,matt murray
8476902,Esa Lindell,Esa Lindell,esa lindell,esa lindell
8476903,Jon Gillies,Jon Gillies,jon gillies,jon gillies
8476904,Chris Driedger,Chris Driedger,chris driedger,chris driedger
8476905,Chandler Stephenson,Chandler Stephenson,chandler stephenson,chandler stephenson
8476906,Shayne Gostisbehere,Shayne Gostisbehere,shayne gostisbehere,shayne gostisbehere
8476907,Mackenzie MacEachern,Mackenzie MacEachern,mackenzie maceachern,mackenzie maceachern
8476910,Scott Kosmachuk,Scott Kosmachuk,scott kosmachuk,scott kosmachuk
8476911,Tanner Richard,Tanner Richard,tanner richard,tanner richard
8476913,Devin Shore,Devin Shore,devin shore,devin shore
8476914,Joonas Korpisalo,Joonas Korpisalo,joonas korpisalo,joonas korpisalo
8476915,Jujhar Khaira,Jujhar Khaira,jujhar khaira,jujhar khaira
8476917,Adam Pelech,Adam Pelech,adam pelech,adam pelech
8476918,Jimmy Vesey,Jimmy Vesey,jimmy vesey,jimmy vesey
8476919,Chris Tierney,Chris Tierney,chris tierney,chris tierney
8476921,Jordan Martinook,Jordan Martinook,jordan martinook,jordan martinook
8476922,Boo Nieves,Boo Nieves,boo nieves,boo nieves
8476923,Damon Severson,Damon Severson,damon severson,damon severson
8476924,Martin Frk,Martin Frk,martin frk,martin frk
8476925,Colton Sissons,Colton Sissons,colton sissons,colton sissons
8476927,Teddy Blueger,Teddy Blueger,teddy blueger,teddy blueger
8476931,Jake McCabe,Jake McCabe,jake mccabe,jake mccabe
8476932,Anthony Stolarz,Anthony Stolarz,anthony stolarz,anthony stolarz
